,school.id,school.name,school.region,school.region.name,school.province,school.cityhall,school.division,school.citymuni,school.district,school.legdistrict,school.type,school.abbrev,school.previousname,school.mother.id,school.address,school.established,school.classification,school.classification2,school.curricularclass,school.organization,school.cityincome,school.cityclass,school.urban,School ID_x,Kinder Male,Kinder Female,Grade 1 Male,Grade 1 Female,Grade 2 Male,Grade 2 Female,Grade 3 Male,Grade 3 Female,Grade 4 Male,Grade 4 Female,Grade 5 Male,Grade 5 Female,Grade 6 Male,Grade 6 Female,SPED NG Male,SPED NG Female,Grade 7 Male,Grade 7 Female,Grade 8 Male,Grade 8 Female,Grade 9 Male,Grade 9 Female,Grade 10 Male,Grade 10 Female,Grade 11 Male,Grade 11 Female,Grade 12 Male,Grade 12 Female, school.mooe ,School ID_y,rooms.standard.academic,rooms.standard.unused,rooms.nonstandard.academic,rooms.nonstandard.unused,teachers.instructor,teachers.mobile,teachers.regular,teachers.sped,MOOE
525,100940,Caba CES,Region I,Ilocos Region,LA UNION,LA UNION,La Union,CABA,Caba,2nd District,School with no Annexes,,,100940.0,-Poblacion Norte,1/1/1914,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,100940.0,60.0,45.0,94.0,68.0,57.0,77.0,83.0,72.0,83.0,84.0,73.0,62.0,79.0,63.0,26.0,14.0,,,,,,,,,,,,,499000.0,100940.0,25.0,0.0,0.0,0.0,0.0,6.0,24.0,1.0,499000.0
585,100403,Cabugao South Central School,Region I,Ilocos Region,ILOCOS SUR,ILOCOS SUR,Ilocos Sur,CABUGAO,Cabugao,1st District,School with no Annexes,none,Cabugao Central School,100403.0,none,1/1/1922,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,100403.0,33.0,39.0,42.0,34.0,38.0,38.0,48.0,34.0,51.0,42.0,24.0,34.0,33.0,32.0,7.0,1.0,,,,,,,,,,,,,281000.0,100403.0,12.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,281000.0
640,102216,Calomboyan Elementary School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,San Carlos City,SAN CARLOS CITY,San Carlos City District I,3rd District,School with no Annexes,Calomboyan ES,-,102216.0,"Brgy. Calomboyan, San Carlos City",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,102216.0,39.0,50.0,53.0,34.0,51.0,45.0,58.0,39.0,58.0,51.0,50.0,36.0,42.0,45.0,1.0,0.0,,,,,,,,,,,,,289000.0,102216.0,9.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0,289000.0
676,235501,Candon South Central School SPED Center,Region I,Ilocos Region,ILOCOS SUR,ILOCOS SUR,Candon City,CITY OF CANDON,District II,2nd District,School with no Annexes,cscssc,-,235501.0,-,1/1/2008,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 160 M or more but less than P 240 M,Component City,Partially Urban,235501.0,9.0,0.0,5.0,3.0,9.0,2.0,1.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,14.0,6.0,,,,,,,,,,,,,66000.0,235501.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,66000.0
748,100075,"Catalino Acosta Mem. ES, Special Education Center",Region I,Ilocos Region,ILOCOS NORTE,ILOCOS NORTE,Ilocos Norte,CITY OF BATAC,Batac I,2nd District,School with no Annexes,CAMES SPED Center,Catalino Acosta Mem. ES,100075.0,Highway,1/1/1982,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Component City,Partially Urban,100075.0,59.0,35.0,59.0,46.0,50.0,54.0,56.0,60.0,64.0,73.0,46.0,61.0,56.0,52.0,32.0,18.0,,,,,,,,,,,,,393000.0,100075.0,18.0,0.0,0.0,0.0,0.0,3.0,17.0,7.0,393000.0
774,102217,Central I Elementary School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,San Carlos City,SAN CARLOS CITY,San Carlos City District I,3rd District,School with no Annexes,Central I ES,,102217.0,"Roxas Blvd., San Carlos City",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,102217.0,190.0,180.0,206.0,189.0,223.0,172.0,243.0,205.0,188.0,190.0,174.0,170.0,167.0,160.0,27.0,14.0,,,,,,,,,,,,,1156000.0,102217.0,58.0,0.0,0.0,0.0,0.0,9.0,54.0,3.0,1156000.0
775,102228,Central II Elementary School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,San Carlos City,SAN CARLOS CITY,San Carlos City District II,3rd District,School with no Annexes,Central II ES,-,102228.0,"Roxas Blvd., San Carlos City, Pangasinan",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,102228.0,137.0,128.0,136.0,131.0,130.0,127.0,133.0,123.0,129.0,103.0,140.0,114.0,113.0,101.0,3.0,3.0,,,,,,,,,,,,,783000.0,102228.0,42.0,0.0,0.0,0.0,0.0,8.0,42.0,1.0,783000.0
782,102230,Coliling Elementary School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,San Carlos City,SAN CARLOS CITY,San Carlos City District II,3rd District,School with no Annexes,Coliling ES,-,102230.0,"Brgy. Coliling, San Carlos City, Pangasinan",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,102230.0,68.0,60.0,67.0,64.0,51.0,59.0,66.0,55.0,50.0,63.0,56.0,40.0,39.0,54.0,3.0,3.0,,,,,,,,,,,,,392000.0,102230.0,20.0,0.0,0.0,0.0,0.0,5.0,20.0,1.0,392000.0
808,100409,Daclapan ES,Region I,Ilocos Region,ILOCOS SUR,ILOCOS SUR,Ilocos Sur,CABUGAO,Cabugao,1st District,School with no Annexes,none,none,100409.0,none,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,100409.0,19.0,30.0,20.0,19.0,27.0,20.0,24.0,20.0,24.0,28.0,31.0,26.0,24.0,25.0,3.0,1.0,,,,,,,,,,,,,190000.0,100409.0,9.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,190000.0
853,101444,Dasol CS,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan I, Lingayen",DASOL,Dasol,1st District,School with no Annexes,,-,101444.0,Casolming Street,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,101444.0,33.0,45.0,59.0,49.0,55.0,55.0,47.0,45.0,55.0,37.0,49.0,40.0,62.0,61.0,25.0,11.0,,,,,,,,,,,,,379000.0,101444.0,15.0,0.0,0.0,0.0,0.0,4.0,21.0,2.0,379000.0
912,101784,Don Rufino Tabayoyong CS,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan II, Binalonan",LAOAC,Laoac,5th District,School with no Annexes,DRTCS,none,101784.0,Poblacion,1/1/1932,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,101784.0,50.0,52.0,52.0,51.0,67.0,63.0,77.0,66.0,52.0,49.0,64.0,63.0,57.0,70.0,4.0,4.0,,,,,,,,,,,,,398000.0,101784.0,17.0,0.0,0.0,0.0,0.0,3.0,21.0,1.0,398000.0
1062,102229,Ignacio Centeno Elementary School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,San Carlos City,SAN CARLOS CITY,San Carlos City District II,3rd District,School with no Annexes,Ignacio Centeno ES,Cobol ES,102229.0,"Brgy. Cobol, San Carlos City, Pangasinan",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,102229.0,48.0,55.0,49.0,33.0,61.0,32.0,44.0,44.0,38.0,35.0,53.0,39.0,29.0,34.0,6.0,3.0,,,,,,,,,,,,,289000.0,102229.0,14.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,289000.0
1074,101464,Infanta IS,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan I, Lingayen",INFANTA,Infanta,1st District,School with no Annexes,IIS,Infanta CS,101464.0,-,1/1/1923,Elementary,DepED Managed,Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,101464.0,57.0,34.0,69.0,58.0,77.0,49.0,58.0,66.0,55.0,66.0,69.0,59.0,58.0,55.0,15.0,7.0,,,,,,,,,,,,,405000.0,101464.0,19.0,0.0,0.0,0.0,0.0,3.0,21.0,0.0,405000.0
1092,101953,Juan C. Laya Memorial School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan II, Binalonan",SAN MANUEL,San Manuel,6th District,School with no Annexes,,-San Manuel Center,101953.0,Cerezo St.,1/1/1964,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,101953.0,92.0,89.0,92.0,91.0,115.0,109.0,124.0,99.0,108.0,101.0,104.0,109.0,90.0,103.0,7.0,7.0,,,,,,,,,,,,,671000.0,101953.0,11.0,0.0,7.0,0.0,0.0,6.0,28.0,0.0,671000.0
1189,102231,Lilimasan Elementary School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,San Carlos City,SAN CARLOS CITY,San Carlos City District II,3rd District,School with no Annexes,Lilimasan ES,-n/a,102231.0,"Brgy. Lilimasan, San Carlos City, Pangasinan",1/1/1956,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,102231.0,48.0,42.0,29.0,20.0,33.0,32.0,42.0,35.0,30.0,40.0,26.0,44.0,39.0,25.0,2.0,2.0,,,,,,,,,,,,,245000.0,102231.0,8.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,245000.0
1192,101483,Lingayen I CS,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan I, Lingayen",LINGAYEN (Capital),Lingayen I,2nd District,School with no Annexes,,-,101483.0,ALVEAR ST. WEST,1/1/1909,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Urban,101483.0,106.0,124.0,129.0,131.0,152.0,120.0,160.0,158.0,161.0,142.0,144.0,121.0,141.0,126.0,37.0,19.0,,,,,,,,,,,,,881000.0,101483.0,35.0,0.0,0.0,0.0,0.0,7.0,45.0,2.0,881000.0
1236,101181,Lucap ES,Region I,Ilocos Region,PANGASINAN,PANGASINAN,Alaminos City,CITY OF ALAMINOS,District III,1st District,School with no Annexes,,-,101181.0,Brgy. Lucap,1/1/1946,Elementary,DepED Managed,Elementary,Monograde,P 160 M or more but less than P 240 M,Component City,Partially Urban,101181.0,65.0,56.0,66.0,68.0,74.0,82.0,87.0,76.0,85.0,75.0,79.0,75.0,76.0,61.0,5.0,5.0,,,,,,,,,,,,,442000.0,101181.0,20.0,0.0,0.0,0.0,0.0,2.0,18.0,1.0,442000.0
1272,101523,Mabini CS,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan I, Lingayen",MABINI,Mabini,1st District,School with no Annexes,MCS,-,101523.0,-Rodriguez,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,101523.0,59.0,57.0,47.0,54.0,49.0,56.0,72.0,74.0,65.0,60.0,66.0,74.0,71.0,66.0,6.0,4.0,,,,,,,,,,,,,476000.0,101523.0,21.0,0.0,0.0,0.0,0.0,3.0,28.0,1.0,476000.0
1312,100502,Magsingal South Central School,Region I,Ilocos Region,ILOCOS SUR,ILOCOS SUR,Ilocos Sur,MAGSINGAL,Magsingal,1st District,School with no Annexes,MSCS,DCUMS,100502.0,,1/1/1958,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,100502.0,28.0,26.0,45.0,38.0,46.0,32.0,46.0,30.0,50.0,50.0,59.0,39.0,41.0,37.0,7.0,5.0,,,,,,,,,,,,,323000.0,100502.0,17.0,0.0,0.0,0.0,0.0,4.0,16.0,1.0,323000.0
